;x
1;79.35
2;75.78
3;86.32
4;72.6
5;74.86
6;83.81
7;79.8
8;62.41
9;85.41
10;83.11
11;84.21
12;89.7
13;78.64
14;77.42
15;89.86
16;81.27
17;78.68
18;89.51
19;83.67
20;69.8
21;91.09
22;89.43
23;91.04
24;92.87
25;81.87
26;85.36
27;92.98
28;81.09
29;85.64
30;91.14
31;83.46
32;66.37
33;93.34
34;85.93
35;86.81
36;93.3
37;81.59
38;81.77
39;91.24
40;79.45
41;86.99
42;96.6
43;97.99
44;79.13
45;103.56
46;100.89
47;99.4
48;111.8
49;95.3
50;97.77
51;116.23
52;100.98
53;104.07
54;114.64
55;107.62
56;96.12
57;123.5
58;116.12
59;116.86
60;128.61
61;100.56
62;103.05
63;119.06
64;92.46
65;98.75
66;111.14
67;96.13
68;79.72
69;102.07
70;96.18
71;101.26
72;109.85
73;89.52
74;89.27
75;104.35
76;87.05
77;89.33
78;102.2
79;88.13
80;75.68
81;99.48
82;96.4
83;96.16
84;101
85;89.34
86;86.91
87;98.9
88;85.54
89;85.25
90;101.14
91;91.8
92;76.98
93;104.33
94;99.72
95;101.06
96;109
97;89.88
98;92.27
99;105.11
100;91.5
101;92.56
102;104.35
103;96.21
104;79.58
105;105.43
106;99.18
107;99.77
108;113.55
109;91.65
110;90.56
111;105.52
112;92.18
113;91.22
114;109.04
115;99.26
116;83.36
117;110.8
118;104.95
119;107.07
120;114.4
121;99.16
122;99.86
123;116.14
124;103.48
125;103.07
126;119.32
127;107.94
128;90.59
129;121.8
130;117.11
131;113.71
132;120.37
133;103.93
134;104.1
135;125.72
136;104.7
137;108.45
138;123.11
139;108.89
140;94.07
141;121.88
142;116.81
143;115.87
144;127.14
145;109.45
146;105.23
147;121.32
148;108.78
149;103.2
150;117.93
151;103.76
152;89.27
153;109.5
154;104.02
155;100.12
156;101.18
157;77.38
158;75.19
159;86.4
160;74.13
161;74.1
162;85.61
163;79.9
164;65.36
165;88.09
166;84.6
167;88.09
168;102.52
169;79.28
170;78.74
171;94.62
172;84.66
173;85.2
174;103.94
175;89.87
176;78.14
177;96.5
178;94.68
179;101.77
180;103.48
181;92.57
182;89.16
183;104.48
184;89.45
185;93.4
186;102.9
187;93.77
188;77.58
189;95.04
190;91.77
191;93.37
192;98.34
193;86.44
194;85.04
195;97.8
