;x
1;55
2;60
3;68
4;63
5;65
6;61
7;54
8;52
9;46
10;42
11;37
12;30
13;37
14;44
15;55
16;53
17;58
18;50
19;48
20;45
21;41
22;34
23;30
24;24
25;29
26;34
27;44
28;54
29;57
30;51
31;51
32;53
33;46
34;46
35;46
36;39
37;41
38;53
39;55
40;62
41;55
42;56
43;57
44;59
45;58
46;55
47;49
48;47
49;57
50;68
51;84
52;81
53;78
54;74
55;64
56;74
57;71
58;63
59;55
60;51
61;57
62;63
63;75
64;85
65;80
66;77
67;68
68;72
69;68
70;70
71;53
72;50
73;53
74;58
75;73
76;72
77;68
78;63
79;64
80;68
81;60
82;54
83;41
84;35
85;43
86;44
87;44
88;36
89;44
90;50
91;55
92;61
93;50
94;46
95;39
96;33
97;37
98;40
99;49
100;44
101;45
102;38
103;36
104;34
105;28
106;29
107;27
108;29
109;28
110;29
111;36
112;32
113;36
114;34
115;31
116;36
117;39
118;40
119;39
120;33
121;44
122;46
123;57
124;59
125;64
126;59
127;51
128;50
129;48
130;51
131;45
132;48
133;52
134;58
135;63
136;61
137;59
138;58
139;52
140;48
141;53
142;55
143;42
144;38
145;48
146;55
147;67
148;60
149;65
150;65
151;63
152;61
153;54
154;52
155;51
156;47
157;55
158;59
159;89
160;84
161;75
162;66
163;57
164;52
165;60
166;54
167;48
168;49
169;53
170;59
171;73
172;72
173;62
174;58
175;55
176;56
177;52
178;52
179;43
180;37
181;43
182;55
183;68
184;68
185;64
186;65
187;57
188;59
189;54
190;57
191;43
192;42
193;52
194;51
195;58
196;60
197;61
198;58
199;62
200;61
201;49
202;51
203;47
204;40
205;45
206;50
207;58
208;52
209;50
210;50
211;46
212;46
213;38
214;37
215;34
216;29
217;30
218;40
219;46
220;46
221;47
222;47
223;43
224;46
225;37
226;41
227;39
228;36
229;48
230;55
231;56
232;53
233;52
234;53
235;52
236;56
237;51
238;48
239;42
240;42
241;44
242;50
243;60
244;66
245;58
246;59
247;55
248;57
249;57
250;56
251;53
252;51
253;45
254;58
255;74
256;65
257;65
258;55
259;52
260;59
261;54
262;57
263;45
264;40
265;47
266;47
267;60
268;58
269;63
270;64
271;64
272;63
273;55
274;54
275;44
